Website,Description,ScrapedText,Keywords,UserIntentions
https://coralgablesfl.opengov.com/transparency#/11028/accountType=revenues&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,Financial Revenues,,,
https://coralgablesfl.opengov.com/transparency#/11028/accountType=expenses&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,Financial Expenditures,,,
https://coralgablesfl.opengov.com/data#/20722/query=0EBB84D4D246D3116F2B23E958A1CC3D,snip of finance chart,,,
https://coralgablesfl.opengov.com/data#/20716/query=699C798B9FA8556BB4678ABB116ABEF5,Property Tax Distribution,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkPassportDashboard.aspx,Legislative Calendar &amp; Search,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkLobbyistsDashboard.aspx,City Lobbyists,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkElectionsDashboard.aspx,City Elections,,,
https://coralgablesfl.mycusthelp.com/WEBAPP/_rs/(S(xmyqeznqecgcoxavfby3qrz1))/RequestLogin.aspx?sSessionID=741141445UTPNEPIFKEGMRBWLUCGNOULTZOWNOPI&amp;rqst=106&amp;target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUM8Jvp1AAd4YheCcTrA795fG9P3xL5LmB/wFQjiIoSWN49XTswE3ZhAz1J/5gOuiwgOjyZ2b9xwmZZWxpe5fVjSAZHl3JoqpZ0aER4qjBIUm8=,GovQA Public Records Request,,,
https://portal.laserfiche.com/Portal/Welcome.aspx?repo=r-0e28d9ac,Public Records,,,
https://coralgables.legistar.com/Calendar.aspx,Legislative Calendar &amp; Search,,,
