Website,Description,ScrapedText,Keywords,UserIntentions
https://coralgablesfl.opengov.com/transparency#/11028/accountType=revenues&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,financial revenues,"annual w/ budget five-year capital improvement plan c.i.p. map - key projects capital projects - new/additional funding coral gables properties by type employee classification ten-year comparison annual pension contributions funding ratio of pension plan ten-year municipal millage rates for full service cities property tax distribution per tax dollar filtersviews changing filters will update visualization automatically. show revenues * broken down by departments * filtered byall funds departments functions revenue type fiscal year 2015 2015 options what is the city's budget? how much is spent on public safety? where does the city's general fund revenue come from? what are the different types of tax revenue the city receives? how much revenue does the city generate from service charges? what are the departmental expenses of the general fund? what are the total salaries and benefits for all operating divisions? which departments spend the most on overtime? settings login help * share * annual w/ budget updated on 8 feb, 2021 back history reset broken down bydepartments revenues visualization created with highcharts 8.1.2 non-departmental expense $358,197,334 (100.0%) description pending $0 (0.0%) * 2014-15 budget * 2014-15 actual * 2015-16 budget * 2015-16 actual * 2016-17 budget * 2016-17 actual * 2017-18 budget * 2017-18 actual * 2018-19 budget * 2018-19 actual * 2019-20 budget * 2019-20 actual * 2020-21 actual * 2020-21 budget sort large to small * non-departmental expense description pending dataexpand all 2014-15 budget 2014-15 actual 2015-16 budget 2015-16 actual 2016-17 budget 2016-17 actual 2017-18 budget 2017-18 actual 2018-19 budget 2018-19 actual 2019-20 budget 2019-20 actual 2020-21 actual 2020-21 budgetnon-departmental expense $ 0 $ 279,819,513 $ 0 $ 314,580,932 $ 0 $ 315,319,714 $ 0 $ 418,489,040 $ 373,572,539 $ 324,856,613 $ 408,293,967 $ 369,731,811 $ 124,308,457 $ 358,197,334 description pending 272,423,946 0 312,012,875 0 309,503,481 0 371,178,759 0 0 0 0 0 0 0 total $ 272,423,946 $ 279,819,513 $ 312,012,875 $ 314,580,932 $ 309,503,481 $ 315,319,714 $ 371,178,759 $ 418,489,040 $ 373,572,539 $ 324,856,613 $ 408,293,967 $ 369,731,811 $ 124,308,457 $ 358,197,334 about opengovcontact coral gablescoral gables's homepageterms of service2020-21budget","financial revenue, capital improvement, funding revenue, receive revenue, city revenue, revenue  ",get_financial_revenue
https://coralgablesfl.opengov.com/transparency#/11028/accountType=expenses&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,financial expenditures,"annual w/ budget five-year capital improvement plan c.i.p. map - key projects capital projects - new/additional funding coral gables properties by type employee classification ten-year comparison annual pension contributions funding ratio of pension plan ten-year municipal millage rates for full service cities property tax distribution per tax dollar filtersviews changing filters will update visualization automatically. show expenses * broken down by departments * filtered byall funds departments functions expense type fiscal year 2015 2015 options what is the city's budget? how much is spent on public safety? where does the city's general fund revenue come from? what are the different types of tax revenue the city receives? how much revenue does the city generate from service charges? what are the departmental expenses of the general fund? what are the total salaries and benefits for all operating divisions? which departments spend the most on overtime? settings login help * share * annual w/ budget updated on 8 feb, 2021 back history reset broken down bydepartments personnel services visualization created with highcharts 8.1.2 police department $1,192,582 (52.0%) fire department $743,060 (32.4%) public works department $247,273 (10.8%) non-departmental expense $0 (0.0%) community recreation department $6,673 (0.3%) city clerk $15,000 (0.7%) information technology $42,000 (1.8%) automotive department $15,000 (0.7%) more (9 grouped) $32,578 (1.4%) * 2014-15 budget * 2014-15 actual * 2015-16 budget * 2015-16 actual * 2016-17 budget * 2016-17 actual * 2017-18 budget * 2017-18 actual * 2018-19 budget * 2018-19 actual * 2019-20 budget * 2019-20 actual * 2020-21 actual * 2020-21 budget sort large to small * police department fire department public works department non-departmental expense community recreation department city clerk information technology automotive department more (9 grouped) show more dataexpand all 2014-15 budget 2014-15 actual 2015-16 budget 2015-16 actual 2016-17 budget 2016-17 actual 2017-18 budget 2017-18 actual 2018-19 budget 2018-19 actual 2019-20 budget 2019-20 actual 2020-21 actual 2020-21 budgetpolice department $ 1,714,828 $ 1,758,565 $ 1,988,951 $ 2,023,873 $ 1,901,378 $ 1,942,335 $ 1,263,828 $ 1,606,657 $ 1,275,828 $ 1,721,465 $ 1,230,828 $ 1,939,000 $ 503,699 $ 1,192,582 fire department 311,000 377,231 672,852 645,888 430,000 772,195 430,000 680,143 700,000 910,585 747,247 589,216 139,001 743,060 public works department 336,341 299,279 241,243 291,205 280,243 284,767 251,243 432,028 266,243 315,060 266,243 251,496 147,658 247,273 non-departmental expense 0 20,709 0 0 0 1,389,395 0 307,988 0 44,366 0 28,278 91,534 0 community recreation department 42,906 40,755 4,500 64,432 4,225 38,334 5,813 53,118 40,621 70,911 64,088 57,513 7,949 6,673 city clerk 20,560 16,633 14,560 29,869 14,560 41,703 60,806 53,521 61,000 62,250 46,000 21,992 0 15,000 information technology 28,000 19,973 28,000 20,994 28,000 21,924 28,000 27,078 28,000 27,817 28,701 24,619 24,991 42,000 automotive department 7,500 7,012 15,000 14,035 21,400 13,445 15,000 36,990 17,144 17,144 15,000 15,319 14,416 15,000 city manager 12,000 478 15,360 0 16,200 125 16,300 4,594 16,124 4,809 12,000 1,803 725 13,000 city attorney 0 0 0 0 6,400 3,200 13,391 14,524 8,000 7,814 8,000 2,434 0 8,000 historical resources & cultural arts department 0 0 12,000 8,542 750 1,318 4,685 3,737 3,167 2,092 2,753 2,780 0 0 finance department 6,000 2,178 0 0 3,278 6,105 3,278 4,647 2,078 189 3,278 1,162 456 3,278 labor relations & risk management 0 0 0 0 0 0 0 0 10,508 9,733 6,995 6,994 0 0 economic development department 0 0 0 0 3,550 1,869 4,000 3,928 1,650 1,514 0 256 0 0 parking department 0 0 0 0 0 5,856 0 1,679 0 4,978 0 393 0 0 human resources department 800 243 2,800 2,034 800 2,032 800 32 800 479 800 0 0 800 development services department 3,028 -14,901 9,882 2,200 3,818 -10,459 7,951 -4,187 8,424 -9,667 8,300 -21,445 -10,982 7,500 total $ 2,482,963 $ 2,528,153 $ 3,005,148 $ 3,103,072 $ 2,714,602 $ 4,514,146 $ 2,105,095 $ 3,226,476 $ 2,439,587 $ 3,191,539 $ 2,440,233 $ 2,921,811 $ 919,448 $ 2,294,166 about opengovcontact coral gablescoral gables's homepageterms of service2020-21budget","financial expenditure , expense break, city budget, total salary, department spend,  annual budget , departmental expense, actual budget, expenditure, spend, expense",get_financial_expenditures
https://coralgablesfl.opengov.com/data#/20716/query=699C798B9FA8556BB4678ABB116ABEF5,property tax distribution,"annual w/ budget five-year capital improvement plan c.i.p. map - key projects capital projects - new/additional funding coral gables properties by type employee classification ten-year comparison annual pension contributions funding ratio of pension plan ten-year municipal millage rates for full service cities property tax distribution per tax dollar show tax ($) * broken down by entity * filtered byall filters 2 columns aggregates amounts incremental * total for a year $265,521,094.00 filters clear search across all data transaction date is at most transaction date is at least add new filter entity millage month tax ($) transaction date year apply columns sort a-z sort a-z sort z-a sort by order of the report all * entity * millage * month * tax ($) (required) * transaction date * year aggregates tax ($) entity millage month tax ($) transaction date year sort 9-0 sort a-z sort z-a sort 0-9 sort 9-0 show count show count show total show avg show min show max calculate download login help * share * property tax distribution per tax dollar the dollar amounts represent the tax dollars generated by each taxing authority. the percentages represent the portion of a resident’s dollar that goes to each taxing authority. updated on 30 sep, 2020 search showing 4 rows backreset broken down byentity ≤ 07/01/2017 ≥ 07/01/2017 visualization created with highcharts 8.1.2 coral gables $75,989,729.00 28.62% miami-dade county $80,460,837.00 30.30% regional $5,278,244.00 1.99% school board $103,792,284.00 39.09% * 2016-17 * 2017-18 * 2018-19 * 2019-20 * 2020-21 data records year month tax ($) millage entity 2017 july 75,989,729.00 5.559 coral gables 2017 july 5,278,244.00 0.3871 regional 2017 july 103,792,284.00 7.612 school board 2017 july 80,460,837.00 5.9009 miami-dade county about opengovcontact coral gablescoral gables's homepageterms of service welcome to the city of coral gables's report this site is designed to help you understand more about the operations and performance of coral gables. start exploring and learn more. you can read our quick how-to instructions or view other topics in the help menu. just get started take tour","property tax distribution, tax distribution, property tax distribution per tax dollar, tax distribution chart, ",
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkPassportDashboard.aspx,Passports Applications Dashboard, your browser does not support scripts or has been configured not to allow scripts. of 1 find | next city clerk - billy y. urquia passports applications dashboard,"passports dashboard, passports, passport data, passport historic data",
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkLobbyistsDashboard.aspx,city lobbyists," your browser does not support scripts or has been configured not to allow scripts. select year and press ""view report"" 2017 2018 2019 2020 2021 2022 of 2 ? find | next city clerk - billy y. urquia lobbyists dashboard export detail 2021 those in red have withdrawn their registration. lobbyist name principal name registered lobbyist address lobbyist phone issue withdrawal date date adrian nunez","city lobbyist, lobbyist, lobbyist principal, lobbyist address, lobbyist phone, lobbyist contact  ",
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkElectionsDashboard.aspx,city elections," your browser does not support scripts or has been configured not to allow scripts. of 1 find | next city clerk - billy y. urquia elections dashboard city of coral gables 2019 biennial run off election demographics export detail precinct total american indian / alaskan 1 asian or pacific islander 2 black, hispanic 4 white, other 6 unk 9 total female male unk total dem npa rep ind other total age age age age total voters that voted absentee no vote total not hispanic 3 not hispanic 5 18-30 31-50 51-70 71 plus 601 466 0 5 1 263 180 5 9 466 238 223 5 466 167 78 216 0 5 466 18 77 168 203 466 232 234 0 466 602 312 0 4 3 181 117 1 4 312 164 148 0 312 114 50 146 0 2 312 14 60 111 127 312 132 180 0 312 604 303 0 1 0 145 140 3 12 303 163 134 6 303 114 71 117 0 1 303 5 41 92 165 303 108 195 0 303 607 488 2 5 1 243 216 10 11 488 280 205 3 488 175 84 227 0 2 488 4 52 169 263 488 213 275 0 488 608 497 0 2 0 244 241 5 5 497 253 238 6 497 162 74 261 0 0 497 23 61 196 217 497 219 278 0 497 609 273 0 1 1 146 117 3 3 273 149 122 2 273 79 63 129 0 2 273 10 41 114 108 273 126 147 0 273 611 483 0 6 2 256 217 1 1 483 242 237 4 483 117 79 286 0 1 483 18 56 217 192 483 176 307 0 483 612 213 0 1 0 135 76 1 0 213 113 98 2 213 75 34 102 0 2 213 15 38 82 78 213 114 99 0 213 613 335 0 1 0 161 159 2 9 335 182 147 6 335 103 70 160 0 2 335 8 48 140 139 335 159 176 0 335 614 206 0 1 0 88 112 1 2 206 114 90 2 206 69 24 113 0 0 206 6 19 92 89 206 81 125 0 206 615 346 0 2 1 142 193 4 3 346 179 164 3 346 113 67 165 0 1 346 8 41 143 154 346 128 218 0 346 617 513 0 6 0 202 293 2 8 513 272 234 7 513 146 75 292 0 0 513 19 32 158 304 513 112 401 0 513 618 186 1 0 0 67 117 0 0 186 95 90 1 186 68 27 91 0 0 186 9 7 55 115 186 38 148 0 186 626 67 0 0 0 13 53 1 0 67 34 33 0 67 20 6 41 0 0 67 3 5 26 33 67 23 44 0 67 633 219 0 3 0 145 65 2 1 219 131 88 0 219 71 55 92 0 1 219 5 27 92 95 219 58 161 0 219","city election, election dashboard, election, voter, vote statistics, election historic data",
https://coralgablesfl.mycusthelp.com/WEBAPP/_rs/(S(xmyqeznqecgcoxavfby3qrz1))/RequestLogin.aspx?sSessionID=741141445UTPNEPIFKEGMRBWLUCGNOULTZOWNOPI&amp;rqst=106&amp;target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUM8Jvp1AAd4YheCcTrA795fG9P3xL5LmB/wFQjiIoSWN49XTswE3ZhAz1J/5gOuiwgOjyZ2b9xwmZZWxpe5fVjSAZHl3JoqpZ0aER4qjBIUm8=,govqa public records request,"Public Records CenterSkip to content
Coral Gables Logo
Citizen Request Center
Main Menu
Home
FAQs
Submit a Request
My Request Center
FAQs
See All FAQs 
How may I search for and obtain public records?
Which browsers are compatible with the online services portal?
Do I need a permit?
How do I sign up for Pay By Phone and where can I use it?
How do I get the permit history for a property? How do I get official records for a property?
What are the parking meter hours in Coral Gables?
What is my maximum square footage allowed?
Where can I pay or appeal my parking citation?
Where can I find a list of permitted uses?
What are my permit payment options?
Login
If you have used this service previously, please log in. If this is your first online request, please create an account and provide as much contact information as possible. You will be able to track the progress of your request by logging in to your account.

Email Address:*	
Password:*	
 
Forgot your password?
New User? Click below to create a new account.
You will not be able to receive updates or track the progress on the request submitted.

By logging in, you agree to GovQA's Privacy Policy and Terms of Use.

First time users, please click below:

Powered By GovQA","public record request, citizen request center, citizen request, record request 
",
https://portal.laserfiche.com/Portal/Welcome.aspx?repo=r-0e28d9ac,public records,browse search my public portal | help | about | welcome to laserfiche public portal the gateway to our laserfiche document center search resolutions search ordinances search contracts search minutes powered by laserfiche the url can be used to link to this page your browser does not support the video tag.,"public records, Laserfiche, Laserfiche document center,  search resolution, search ordinance, search contract, search minute",
https://coralgables.legistar.com/Calendar.aspx,legislative calendar search,"sign in select language ​ ▼ * city home * welcome * live video streaming * legislation * calendar * list view * calendar viewsearch: select select notesclosed captions * * help * 22 records * group + clear sorting + clear grouping + group by name + group by meeting date + group by meeting date (month) + group by meeting date (year) + group by meeting location * export + export to excel + export to pdf + export to word name meeting date meeting time meeting location meeting details agenda minutes video ecomment parking advisory board 3/25/2021 8:00 am the board meets the fourth thursday of the month. parking department, director's office, 2801 salzedo street, coral gables, fl 33134 meeting details not available not available not available not available sustainability advisory board 3/24/2021 5:00 pm the board meets the fourth wednesday of every month at the biltmore hotel: garden club room. meeting details not available not available not available not available school community relations committee 3/19/2021 8:30 am tbd meeting details not available not available not available not available public participation via zoom board of architects 3/18/2021 9:00 am city hall, commission chambers, 405 biltmore way, coral gables, fl 33134. meeting details not available not available not available not available public participation via zoom historic preservation board 3/17/2021 4:00 pm city hall, commission chambers meeting details not available not available not available not available code enforcement board 3/17/2021 8:30 am city hall, commission chambers, 405 biltmore way, hybrid/via zoom meeting details not available not available not available not available city of coral gables / university of miami community relations committee 3/15/2021 5:00 pm virtual discussion workshop via zoom meeting details agenda not available not available not available public participation via zoom parks and recreation advisory board 3/11/2021 8:30 am the board meets the second thursday of every month. coral gables youth center, 405 university drive, coral gables, fl 33134 meeting details not available not available not available not available coral gables retirement board 3/11/2021 8:00 am the board meets the second thursday of each month. coral gables youth center, 405 university drive, coral gables, fl 33134 meeting details agenda not available not available not available planning and zoning board 3/10/2021 6:00 pm city hall, commission chambers meeting details not available not available not available not available public participation via zoom/hybrid property advisory board 3/10/2021 8:30 am the board meets the second wednesday of each month. economic sustainability department, conference room, 2121 ponce de leon blvd., suite 720. meeting details not available not available not available not available communications committee 3/10/2021 8:30 am the board meets the second wednesday of each month. coral gables youth center, 405 university drive, coral gables, fl 33134 meeting details not available not available not available not available city commission 3/9/2021 1:00 pm city hall, commission chambers meeting details agenda not available not available not available construction regulation board 3/8/2021 2:00 pm city hall, commission chambers meeting details not available not available not available not available senior citizens advisory board 3/4/2021 4:00 pm the board meets the first thursday of each month. adult activity center, 2 andalusia avenue, coral gables, fl 33134 meeting details not available not available not available not available board of architects 3/4/2021 9:00 am city hall, commission chambers, 405 biltmore way, coral gables, fl 33134. meeting details agenda not available not available not available public participation via zoom landscape beautification advisory board 3/4/2021 8:30 am the board meets the first thursday of every month. coral gables youth center, 405 university drive, coral gables, fl 33134 meeting details not available not available not available not available parks and recreation youth advisory board 3/3/2021 7:00 pm the board meets the first wednesday of the very month. coral gables youth center, 405 university drive, coral gables, fl 33134 meeting details not available not available not available not available economic development board 3/3/2021 8:00 am the board meets the first wednesday of each month. economic sustainability department, conference room, 1 alhambra plaza, suite 617, coral gables, fl 33134 meeting details not available not available not available not available planning and zoning board 3/2/2021 5:30 pm city hall, commission chambers meeting details agenda not available video not available public participation via zoom/hybrid cultural development board 3/2/2021 8:30 am city hall, commission chambers meeting details agenda not available not available not available public participation via zoom/hybrid board of adjustment 3/1/2021 9:00 am city hall, commission chambers meeting details not available not available not available not available public participation via zoom/hybrid previous daynext daytoday select date * day * week * month * timeline mar, 2021 mon tue wed thu fri 1 mar 2 3 4 5 board of adjustment 9:00 am cultural development board 8:30 am economic development board 8:00 am landscape beautification advisory board 8:30 am public participation via zoom/hybrid public participation via zoom/hybrid parks and recreation youth advisory board 7:00 pm board of architects 9:00 am planning and zoning board 5:30 pm public participation via zoom public participation via zoom/hybrid senior citizens advisory board 4:00 pm 8 9 10 11 12 construction regulation board 2:00 pm city commission 1:00 pm communications committee 8:30 am coral gables retirement board 8:00 am property advisory board 8:30 am parks and recreation advisory board 8:30 am planning and zoning board 6:00 pm public participation via zoom/hybrid 15 16 17 18 19 city of coral gables / university of miami community relations committee 5:00 pm code enforcement board 8:30 am board of architects 9:00 am school community relations committee 8:30 am public participation via zoom historic preservation board 4:00 pm public participation via zoom public participation via zoom 22 23 24 25 26 sustainability advisory board 5:00 pm parking advisory board 8:00 am 29 30 31 1 apr 2 landscape beautification advisory board 8:30 am original text contribute a better translation","legislative calendar, legislative agenda, legislation calendar, agenda, board mettting, committee meeting, committee, committee agenda. meeting location, meeting date",
https://cgitwebapps.coralgables.com/CGDashboards/DevServiceReports.aspx,building permits," your browser does not support scripts or has been configured not to allow scripts. date select inspection type all building electrical fire mechanical plumbing zoning public works of 1 find | next monday, march 08, 2021 address inspection permit inspector time range result arvida pkway courtesy inspection -public works pw-17-09-1630 joel hitchman 08:30 am - 01:00 pm part 3 navarre ave final fire (bldg permit) bl-19-03-6096 to be determined 10 aragon ave 1012 electrical rough el-20-10-6557 marino mederos 09:00 am - 11:00 am reject 14 veragua ave subgrade bl-20-06-6766 jose rovira 08:30 am - 01:00 pm 14 veragua ave base bl-20-06-6766 jose rovira 08:30 am - 01:00 pm 14 veragua ave driveway setback bl-20-06-6766 christian gonzalez 09:00 am - 12:00 pm apvd 44 n prospect dr courtesy building bl-20-09-5083 francisco fernandez 09:00 am - 11:00 am part 49 majorca ave 303 final building bl-20-01-5154 eduardo martin 08:35 am - 10:05 am apvd 104 frow ave final zoning zn -20-08-6434 christian gonzalez 09:00 am - 12:00 pm 107 palermo ave final - public works pw-20-02-5102 jose rovira 08:30 am - 01:30 pm 108 menores ave courtesy inspection -public works bl-16-09-5470 joel hitchman 08:30 am - 01:00 pm part 112 camilo ave final plumbing drainfield, septic tank or pump abandonment pl-20-06-7011 tommy milner 10:30 am - 12:30 pm 201 miracle mile final mechanical me-20-07-5925 manuel reboiro to be determined 201 miracle mile final mechanical me-20-07-5925 manuel reboiro to be determined 251 s dixie hwy fire alarm final fd-19-09-4024 to be determined 251 s dixie hwy courtesy inspection -public works bl-18-02-2960 joel hitchman 08:30 am - 01:00 pm part 251 s dixie hwy work completed 04 floor bl-18-02-2960 jose iglesias 09:00 am - 12:00 pm 255 alhambra cir final building bl-20-02-5545 jose iglesias 09:00 am - 12:00 pm 301 arvida pkwy sewer tie in partial pl-18-11-2968 alain gracia 08:30 am - 01:00 pm apvd 348 minorca ave final plumbing pl-18-05-2914 tommy milner 11:00 am - 01:11 pm 363 granello ave electrical ground electrode el-21-02-6863 enrique romero rodriguez to be determined part 411 caligula ave final public works (bldg permit) bl-20-02-5092 alain gracia 08:30 am - 01:00 pm apvd 411 caligula ave stormwater, erosion & sedimentation control - final bl-20-02-5092 alain gracia 08:30 am - 01:00 pm apvd 411 caligula ave final zoning bl-20-02-5092 christian gonzalez 09:00 am - 12:00 pm apvd 420 miller rd final zoning ab-21-02-6589 to be determined 437 marmore ave final building bl-20-11-6005 francisco fernandez 09:00 am - 11:00 am 508 caligula ave columns 01 floor bl-19-01-3070 francisco fernandez 09:00 am - 11:00 am apvd 515 valencia ave courtesy inspection -public works bl-20-04-5940 joel hitchman 08:30 am - 01:00 pm part 515 valencia ave inspection check bl-20-04-5940 jose iglesias 09:00 am - 12:00 pm 515 valencia ave inspection check bl-20-04-5940 jose iglesias 09:00 am - 12:00 pm 516 navarre ave roof sheathing bl-17-07-2396 jose iglesias 12:00 pm - 03:00 pm 516 navarre ave roof trusses - shop drawing required bl-17-07-2396 jose iglesias 12:00 pm - 03:00 pm 521 santurce ave final - public works pw-20-03-6679 alain gracia 08:30 am - 01:00 pm part 614 san juan dr final zoning bl-20-05-6925 christian gonzalez 09:00 am - 12:00 pm apvd 620 destacada ave beams 01 floor bl-21-02-6800 francisco fernandez 10:00 am - 12:00 pm waived 620 destacada ave slab 01 floor bl-21-02-6800 francisco fernandez 10:00 am - 12:00 pm apvd 620 destacada ave tie beam - elevation certificate required bl-21-02-6800 francisco fernandez 10:00 am - 12:00 pm 620 destacada ave tie columns 01 floor bl-21-02-6800 francisco fernandez 10:00 am - 12:00 pm 628 gondoliere ave mechanical rough duct me-19-11-4926 manuel reboiro to be determined 630 sunset dr final electrical el-17-04-2045 enrique romero rodriguez to be determined reject 630 sunset dr electrical slab el-17-04-2045 enrique romero rodriguez to be determined apvd 636 majorca ave final building bl-20-04-6064 sebastian ramos 12:00 pm - 03:00 pm cancel 636 majorca ave stormwater, erosion and sedimentation control bl-20-04-6064 sebastian ramos 12:00 pm - 03:00 pm cancel 700 alhambra cir final mechanical me-21-01-6268 manuel reboiro to be determined cancel 700 alhambra cir mechanical rough a/c me-21-01-6268 melissa de zayas to be determined 700 alhambra cir mechanical rough duct me-21-01-6268 manuel reboiro to be determined cancel 700 alhambra cir mechanical rough ventilation ductwork me-21-01-6268 manuel reboiro to be determined","building permits, permits,  permit inspector, inspection work",
