Website,Description,ScrapedText,Keywords,UserIntentions,,,,,,,,,,,,,,,,,,,,,
https://coralgablesfl.opengov.com/transparency#/11028/accountType=revenues&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,Financial Revenues,"Annual W/ Budget Five-Year Capital Improvement Plan C.I.P. Map - Key Projects Capital Projects - New/Additional Funding Coral Gables Properties by Type Employee Classification Ten-Year Comparison Annual Pension Contributions Funding Ratio of Pension Plan Ten-Year Municipal Millage Rates for Full Service Cities Property Tax Distribution per Tax Dollar FiltersViews Changing filters will update visualization automatically. Show Revenues * Broken down by Departments * Filtered ByAll Funds Departments Functions Revenue Type Fiscal Year 2015 2015 Options What is the City's Budget? How much is spent on Public Safety? Where does the City's General Fund revenue come from? What are the different types of tax revenue the City receives? How much revenue does the City generate from service charges? What are the departmental expenses of the General Fund? What are the total salaries and benefits for all operating divisions? Which Departments spend the most on overtime? Settings Login Help * Share * Annual W/ Budget Updated On 8 Feb, 2021 Back History Reset Broken down byDepartments Revenues Visualization Created with Highcharts 8.1.2 NON-DEPARTMENTAL EXPENSE $358,197,334 (100.0%) Description pending $0 (0.0%) * 2014-15 Budget * 2014-15 Actual * 2015-16 Budget * 2015-16 Actual * 2016-17 Budget * 2016-17 Actual * 2017-18 Budget * 2017-18 Actual * 2018-19 Budget * 2018-19 Actual * 2019-20 Budget * 2019-20 Actual * 2020-21 Actual * 2020-21 Budget Sort Large to Small * NON-DEPARTMENTAL EXPENSE Description pending DataExpand All 2014-15 Budget 2014-15 Actual 2015-16 Budget 2015-16 Actual 2016-17 Budget 2016-17 Actual 2017-18 Budget 2017-18 Actual 2018-19 Budget 2018-19 Actual 2019-20 Budget 2019-20 Actual 2020-21 Actual 2020-21 BudgetNON-DEPARTMENTAL EXPENSE $ 0 $ 279,819,513 $ 0 $ 314,580,932 $ 0 $ 315,319,714 $ 0 $ 418,489,040 $ 373,572,539 $ 324,856,613 $ 408,293,967 $ 369,731,811 $ 124,308,457 $ 358,197,334 Description pending 272,423,946 0 312,012,875 0 309,503,481 0 371,178,759 0 0 0 0 0 0 0 Total $ 272,423,946 $ 279,819,513 $ 312,012,875 $ 314,580,932 $ 309,503,481 $ 315,319,714 $ 371,178,759 $ 418,489,040 $ 373,572,539 $ 324,856,613 $ 408,293,967 $ 369,731,811 $ 124,308,457 $ 358,197,334 About OpenGovContact Coral GablesCoral Gables's homepageTerms of Service2020-21Budget",,,,,,,,,,,,,,,,,,,,,,,
https://coralgablesfl.opengov.com/transparency#/11028/accountType=expenses&amp;breakdown=types&amp;currentYearAmount=cumulative&amp;currentYearPeriod=years&amp;graph=pie&amp;legendSort=desc&amp;proration=true&amp;saved_view=35992&amp;selection=D6C6B5F2756C65B5C52E6C663B8D477F&amp;year=NaN&amp;selectedDataSetIndex=6&amp;fiscal_start=earliest&amp;fiscal_end=latest,Financial Expenditures,"Annual W/ Budget Five-Year Capital Improvement Plan C.I.P. Map - Key Projects Capital Projects - New/Additional Funding Coral Gables Properties by Type Employee Classification Ten-Year Comparison Annual Pension Contributions Funding Ratio of Pension Plan Ten-Year Municipal Millage Rates for Full Service Cities Property Tax Distribution per Tax Dollar FiltersViews Changing filters will update visualization automatically. Show Expenses * Broken down by Departments * Filtered ByAll Funds Departments Functions Expense Type Fiscal Year 2015 2015 Options What is the City's Budget? How much is spent on Public Safety? Where does the City's General Fund revenue come from? What are the different types of tax revenue the City receives? How much revenue does the City generate from service charges? What are the departmental expenses of the General Fund? What are the total salaries and benefits for all operating divisions? Which Departments spend the most on overtime? Settings Login Help * Share * Annual W/ Budget Updated On 8 Feb, 2021 Back History Reset Broken down byDepartments Personnel Services Visualization Created with Highcharts 8.1.2 POLICE DEPARTMENT $1,192,582 (52.0%) FIRE DEPARTMENT $743,060 (32.4%) PUBLIC WORKS DEPARTMENT $247,273 (10.8%) NON-DEPARTMENTAL EXPENSE $0 (0.0%) COMMUNITY RECREATION DEPARTMENT $6,673 (0.3%) CITY CLERK $15,000 (0.7%) INFORMATION TECHNOLOGY $42,000 (1.8%) AUTOMOTIVE DEPARTMENT $15,000 (0.7%) More (9 grouped) $32,578 (1.4%) * 2014-15 Budget * 2014-15 Actual * 2015-16 Budget * 2015-16 Actual * 2016-17 Budget * 2016-17 Actual * 2017-18 Budget * 2017-18 Actual * 2018-19 Budget * 2018-19 Actual * 2019-20 Budget * 2019-20 Actual * 2020-21 Actual * 2020-21 Budget Sort Large to Small * POLICE DEPARTMENT FIRE DEPARTMENT PUBLIC WORKS DEPARTMENT NON-DEPARTMENTAL EXPENSE COMMUNITY RECREATION DEPARTMENT CITY CLERK INFORMATION TECHNOLOGY AUTOMOTIVE DEPARTMENT More (9 grouped) Show More DataExpand All 2014-15 Budget 2014-15 Actual 2015-16 Budget 2015-16 Actual 2016-17 Budget 2016-17 Actual 2017-18 Budget 2017-18 Actual 2018-19 Budget 2018-19 Actual 2019-20 Budget 2019-20 Actual 2020-21 Actual 2020-21 BudgetPOLICE DEPARTMENT $ 1,714,828 $ 1,758,565 $ 1,988,951 $ 2,023,873 $ 1,901,378 $ 1,942,335 $ 1,263,828 $ 1,606,657 $ 1,275,828 $ 1,721,465 $ 1,230,828 $ 1,939,000 $ 503,699 $ 1,192,582 FIRE DEPARTMENT 311,000 377,231 672,852 645,888 430,000 772,195 430,000 680,143 700,000 910,585 747,247 589,216 139,001 743,060 PUBLIC WORKS DEPARTMENT 336,341 299,279 241,243 291,205 280,243 284,767 251,243 432,028 266,243 315,060 266,243 251,496 147,658 247,273 NON-DEPARTMENTAL EXPENSE 0 20,709 0 0 0 1,389,395 0 307,988 0 44,366 0 28,278 91,534 0 COMMUNITY RECREATION DEPARTMENT 42,906 40,755 4,500 64,432 4,225 38,334 5,813 53,118 40,621 70,911 64,088 57,513 7,949 6,673 CITY CLERK 20,560 16,633 14,560 29,869 14,560 41,703 60,806 53,521 61,000 62,250 46,000 21,992 0 15,000 INFORMATION TECHNOLOGY 28,000 19,973 28,000 20,994 28,000 21,924 28,000 27,078 28,000 27,817 28,701 24,619 24,991 42,000 AUTOMOTIVE DEPARTMENT 7,500 7,012 15,000 14,035 21,400 13,445 15,000 36,990 17,144 17,144 15,000 15,319 14,416 15,000 CITY MANAGER 12,000 478 15,360 0 16,200 125 16,300 4,594 16,124 4,809 12,000 1,803 725 13,000 CITY ATTORNEY 0 0 0 0 6,400 3,200 13,391 14,524 8,000 7,814 8,000 2,434 0 8,000 HISTORICAL RESOURCES & CULTURAL ARTS DEPARTMENT 0 0 12,000 8,542 750 1,318 4,685 3,737 3,167 2,092 2,753 2,780 0 0 FINANCE DEPARTMENT 6,000 2,178 0 0 3,278 6,105 3,278 4,647 2,078 189 3,278 1,162 456 3,278 LABOR RELATIONS & RISK MANAGEMENT 0 0 0 0 0 0 0 0 10,508 9,733 6,995 6,994 0 0 ECONOMIC DEVELOPMENT DEPARTMENT 0 0 0 0 3,550 1,869 4,000 3,928 1,650 1,514 0 256 0 0 PARKING DEPARTMENT 0 0 0 0 0 5,856 0 1,679 0 4,978 0 393 0 0 HUMAN RESOURCES DEPARTMENT 800 243 2,800 2,034 800 2,032 800 32 800 479 800 0 0 800 DEVELOPMENT SERVICES DEPARTMENT 3,028 -14,901 9,882 2,200 3,818 -10,459 7,951 -4,187 8,424 -9,667 8,300 -21,445 -10,982 7,500 Total $ 2,482,963 $ 2,528,153 $ 3,005,148 $ 3,103,072 $ 2,714,602 $ 4,514,146 $ 2,105,095 $ 3,226,476 $ 2,439,587 $ 3,191,539 $ 2,440,233 $ 2,921,811 $ 919,448 $ 2,294,166 About OpenGovContact Coral GablesCoral Gables's homepageTerms of Service2020-21Budget",,,,,,,,,,,,,,,,,,,,,,,
https://coralgablesfl.opengov.com/data#/20722/query=0EBB84D4D246D3116F2B23E958A1CC3D,snip of finance chart,"Annual W/ Budget Five-Year Capital Improvement Plan C.I.P. Map - Key Projects Capital Projects - New/Additional Funding Coral Gables Properties by Type Employee Classification Ten-Year Comparison Annual Pension Contributions Funding Ratio of Pension Plan Ten-Year Municipal Millage Rates for Full Service Cities Property Tax Distribution per Tax Dollar FiltersViews Changing filters will update visualization automatically. Show Funding ($) * Broken down by Project Type * Filtered ByAll Filters 2 Columns Aggregates Amounts Incremental * Total for a year $0.00 Capital Equipment Projects Facility Repairs/Improvement Projects Historic Facility Improvement Projects Motor Pool Replacement/Addition Projects Parks & Recreation Improvement Projects Public Safety Improvement Projects Transportation & Right Of Way Improvement Projects Utility Repairs/Improvement Projects Filters Clear Search Across All Data Transaction Date is at most Transaction Date is at least Add New Filter Current CIP Year Funding ($) PROJECT Project Status Project Type Transaction Date Apply Columns Sort A-Z Sort A-Z Sort Z-A Sort by order of the report All * Current CIP Year * Funding ($) (required) * PROJECT * Project Status * Project Type * Transaction Date Aggregates Funding ($) Current CIP Year Funding ($) PROJECT Project Status Project Type Transaction Date Sort 9-0 Sort A-Z Sort Z-A Sort 0-9 Sort 9-0 Show Count Show Count Show Total Show Avg Show Min Show Max Calculate Download Login Help * Share * Capital Projects - New/Additional Funding What additional funding has been added to the Capital Improvement Plan for FY21? Updated On 30 Sep, 2020 Search No Results BackReset Broken down byProject Type ≤ 07/01/2018 ≥ 07/01/2018 Visualization Created with Highcharts 8.1.2 Data Records Current CIP Year Project Type Project Status Funding ($) PROJECT No data matched your filters Try broadening your search by removing or simplifying filters. Okay About OpenGovContact Coral GablesCoral Gables's homepageTerms of Service Welcome to The City of Coral Gables's Report This site is designed to help you understand more about the operations and performance of Coral Gables. Start exploring and learn more. You can read our quick How-to instructions or view other topics in the Help menu. Just get started Take tour",,,,,,,,,,,,,,,,,,,,,,,
https://coralgablesfl.opengov.com/data#/20716/query=699C798B9FA8556BB4678ABB116ABEF5,Property Tax Distribution,"Annual W/ Budget Five-Year Capital Improvement Plan C.I.P. Map - Key Projects Capital Projects - New/Additional Funding Coral Gables Properties by Type Employee Classification Ten-Year Comparison Annual Pension Contributions Funding Ratio of Pension Plan Ten-Year Municipal Millage Rates for Full Service Cities Property Tax Distribution per Tax Dollar Show Tax ($) * Broken down by Entity * Filtered ByAll Filters 2 Columns Aggregates Amounts Incremental * Total for a year $265,521,094.00 Filters Clear Search Across All Data Transaction Date is at most Transaction Date is at least Add New Filter Entity Millage Month Tax ($) Transaction Date Year Apply Columns Sort A-Z Sort A-Z Sort Z-A Sort by order of the report All * Entity * Millage * Month * Tax ($) (required) * Transaction Date * Year Aggregates Tax ($) Entity Millage Month Tax ($) Transaction Date Year Sort 9-0 Sort A-Z Sort Z-A Sort 0-9 Sort 9-0 Show Count Show Count Show Total Show Avg Show Min Show Max Calculate Download Login Help * Share * Property Tax Distribution per Tax Dollar The dollar amounts represent the tax dollars generated by each taxing authority. The percentages represent the portion of a resident’s dollar that goes to each taxing authority. Updated On 30 Sep, 2020 Search Showing 4 rows BackReset Broken down byEntity ≤ 07/01/2017 ≥ 07/01/2017 Visualization Created with Highcharts 8.1.2 Coral Gables $75,989,729.00 28.62% Miami-Dade County $80,460,837.00 30.30% Regional $5,278,244.00 1.99% School Board $103,792,284.00 39.09% * 2016-17 * 2017-18 * 2018-19 * 2019-20 * 2020-21 Data Records Year Month Tax ($) Millage Entity 2017 July 75,989,729.00 5.559 Coral Gables 2017 July 5,278,244.00 0.3871 Regional 2017 July 103,792,284.00 7.612 School Board 2017 July 80,460,837.00 5.9009 Miami-Dade County About OpenGovContact Coral GablesCoral Gables's homepageTerms of Service Welcome to The City of Coral Gables's Report This site is designed to help you understand more about the operations and performance of Coral Gables. Start exploring and learn more. You can read our quick How-to instructions or view other topics in the Help menu. Just get started Take tour",,,,,,,,,,,,,,,,,,,,,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkPassportDashboard.aspx,Legislative Calendar &amp; Search, Your browser does not support scripts or has been configured not to allow scripts. of 1 Find | Next City Clerk - Billy Y. Urquia Passports Applications Dashboard,,,,,,,,,,,,,,,,,,,,,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkLobbyistsDashboard.aspx,City Lobbyists," Your browser does not support scripts or has been configured not to allow scripts. Select Year and press ""View Report"" 2017 2018 2019 2020 2021 2022 of 2 ? Find | Next City Clerk - Billy Y. Urquia Lobbyists Dashboard Export Detail 2021 Those in red have withdrawn their registration. Lobbyist Name Principal Name Registered Lobbyist Address Lobbyist Phone Issue Withdrawal Date Date Adrian Nunez",,,,,,,,,,,,,,,,,,,,,,,
https://cgitwebapps.coralgables.com/CGDashboards/CityClerkElectionsDashboard.aspx,City Elections," Your browser does not support scripts or has been configured not to allow scripts. of 1 Find | Next City Clerk - Billy Y. Urquia Elections Dashboard City of Coral Gables 2019 Biennial Run Off Election Demographics Export Detail Precinct Total American Indian / Alaskan 1 Asian or Pacific Islander 2 Black, Hispanic 4 White, Other 6 UNK 9 Total Female Male UNK Total DEM NPA REP IND Other Total Age Age Age Age Total Voters That Voted Absentee No Vote Total not Hispanic 3 not Hispanic 5 18-30 31-50 51-70 71 plus 601 466 0 5 1 263 180 5 9 466 238 223 5 466 167 78 216 0 5 466 18 77 168 203 466 232 234 0 466 602 312 0 4 3 181 117 1 4 312 164 148 0 312 114 50 146 0 2 312 14 60 111 127 312 132 180 0 312 604 303 0 1 0 145 140 3 12 303 163 134 6 303 114 71 117 0 1 303 5 41 92 165 303 108 195 0 303 607 488 2 5 1 243 216 10 11 488 280 205 3 488 175 84 227 0 2 488 4 52 169 263 488 213 275 0 488 608 497 0 2 0 244 241 5 5 497 253 238 6 497 162 74 261 0 0 497 23 61 196 217 497 219 278 0 497 609 273 0 1 1 146 117 3 3 273 149 122 2 273 79 63 129 0 2 273 10 41 114 108 273 126 147 0 273 611 483 0 6 2 256 217 1 1 483 242 237 4 483 117 79 286 0 1 483 18 56 217 192 483 176 307 0 483 612 213 0 1 0 135 76 1 0 213 113 98 2 213 75 34 102 0 2 213 15 38 82 78 213 114 99 0 213 613 335 0 1 0 161 159 2 9 335 182 147 6 335 103 70 160 0 2 335 8 48 140 139 335 159 176 0 335 614 206 0 1 0 88 112 1 2 206 114 90 2 206 69 24 113 0 0 206 6 19 92 89 206 81 125 0 206 615 346 0 2 1 142 193 4 3 346 179 164 3 346 113 67 165 0 1 346 8 41 143 154 346 128 218 0 346 617 513 0 6 0 202 293 2 8 513 272 234 7 513 146 75 292 0 0 513 19 32 158 304 513 112 401 0 513 618 186 1 0 0 67 117 0 0 186 95 90 1 186 68 27 91 0 0 186 9 7 55 115 186 38 148 0 186 626 67 0 0 0 13 53 1 0 67 34 33 0 67 20 6 41 0 0 67 3 5 26 33 67 23 44 0 67 633 219 0 3 0 145 65 2 1 219 131 88 0 219 71 55 92 0 1 219 5 27 92 95 219 58 161 0 219",,,,,,,,,,,,,,,,,,,,,,,
https://coralgablesfl.mycusthelp.com/WEBAPP/_rs/(S(xmyqeznqecgcoxavfby3qrz1))/RequestLogin.aspx?sSessionID=741141445UTPNEPIFKEGMRBWLUCGNOULTZOWNOPI&amp;rqst=106&amp;target=YpURA3m6cNU+N1K9kEqQhqz8yC2ZLKNdSdB4wnowVJ5S8CGTBp2GIItHg4/I0pUM8Jvp1AAd4YheCcTrA795fG9P3xL5LmB/wFQjiIoSWN49XTswE3ZhAz1J/5gOuiwgOjyZ2b9xwmZZWxpe5fVjSAZHl3JoqpZ0aER4qjBIUm8=,GovQA Public Records Request,,,,,,,,,,,,,,,,,,,,,,,,
https://portal.laserfiche.com/Portal/Welcome.aspx?repo=r-0e28d9ac,Public Records,Browse Search My Public Portal | Help | About | Welcome to Laserfiche Public Portal The gateway to our Laserfiche document center Search Resolutions Search Ordinances Search Contracts Search Minutes Powered by Laserfiche The URL can be used to link to this page Your browser does not support the video tag.,,,,,,,,,,,,,,,,,,,,,,,
https://coralgables.legistar.com/Calendar.aspx,Legislative Calendar &amp; Search,"Sign In Select Language ​ ▼ * City Home * Welcome * Live Video Streaming * Legislation * Calendar * List View * Calendar ViewSearch: select select notesclosed captions * * Help * 22 records * Group + Clear sorting + Clear grouping + Group by Name + Group by Meeting Date + Group by Meeting Date (Month) + Group by Meeting Date (Year) + Group by Meeting Location * Export + Export to Excel + Export to PDF + Export to Word Name Meeting Date Meeting Time Meeting Location Meeting Details Agenda Minutes Video eComment Parking Advisory Board 3/25/2021 8:00 AM The Board meets the fourth Thursday of the month. Parking Department, Director's Office, 2801 Salzedo Street, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Sustainability Advisory Board 3/24/2021 5:00 PM The Board meets the fourth Wednesday of every month at the Biltmore Hotel: Garden Club Room. Meeting details Not available Not available Not available Not available School Community Relations Committee 3/19/2021 8:30 AM TBD Meeting details Not available Not available Not available Not available Public Participation via Zoom Board of Architects 3/18/2021 9:00 AM City Hall, Commission Chambers, 405 Biltmore Way, Coral Gables, FL 33134. Meeting details Not available Not available Not available Not available Public Participation via Zoom Historic Preservation Board 3/17/2021 4:00 PM City Hall, Commission Chambers Meeting details Not available Not available Not available Not available Code Enforcement Board 3/17/2021 8:30 AM City Hall, Commission Chambers, 405 Biltmore Way, Hybrid/Via Zoom Meeting details Not available Not available Not available Not available City of Coral Gables / University of Miami Community Relations Committee 3/15/2021 5:00 PM Virtual Discussion Workshop via Zoom Meeting details Agenda Not available Not available Not available Public Participation via Zoom Parks and Recreation Advisory Board 3/11/2021 8:30 AM The Board meets the second Thursday of every month. Coral Gables Youth Center, 405 University Drive, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Coral Gables Retirement Board 3/11/2021 8:00 AM The Board meets the second Thursday of each month. Coral Gables Youth Center, 405 University Drive, Coral Gables, FL 33134 Meeting details Agenda Not available Not available Not available Planning and Zoning Board 3/10/2021 6:00 PM City Hall, Commission Chambers Meeting details Not available Not available Not available Not available Public Participation Via Zoom/Hybrid Property Advisory Board 3/10/2021 8:30 AM The board meets the second Wednesday of each month. Economic Sustainability Department, Conference Room, 2121 Ponce de Leon Blvd., Suite 720. Meeting details Not available Not available Not available Not available Communications Committee 3/10/2021 8:30 AM The Board meets the second Wednesday of each month. Coral Gables Youth Center, 405 University Drive, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available City Commission 3/9/2021 1:00 PM City Hall, Commission Chambers Meeting details Agenda Not available Not available Not available Construction Regulation Board 3/8/2021 2:00 PM City Hall, Commission Chambers Meeting details Not available Not available Not available Not available Senior Citizens Advisory Board 3/4/2021 4:00 PM The Board meets the first Thursday of each month. Adult Activity Center, 2 Andalusia Avenue, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Board of Architects 3/4/2021 9:00 AM City Hall, Commission Chambers, 405 Biltmore Way, Coral Gables, FL 33134. Meeting details Agenda Not available Not available Not available Public Participation via Zoom Landscape Beautification Advisory Board 3/4/2021 8:30 AM The Board meets the first Thursday of every month. Coral Gables Youth Center, 405 University Drive, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Parks and Recreation Youth Advisory Board 3/3/2021 7:00 PM The board meets the first Wednesday of the very month. Coral Gables Youth Center, 405 University Drive, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Economic Development Board 3/3/2021 8:00 AM The Board meets the first Wednesday of each month. Economic Sustainability Department, Conference Room, 1 Alhambra Plaza, Suite 617, Coral Gables, FL 33134 Meeting details Not available Not available Not available Not available Planning and Zoning Board 3/2/2021 5:30 PM City Hall, Commission Chambers Meeting details Agenda Not available Video Not available Public Participation Via Zoom/Hybrid Cultural Development Board 3/2/2021 8:30 AM City Hall, Commission Chambers Meeting details Agenda Not available Not available Not available Public Participation via Zoom/Hybrid Board of Adjustment 3/1/2021 9:00 AM City Hall, Commission Chambers Meeting details Not available Not available Not available Not available Public Participation Via Zoom/Hybrid previous daynext daytoday Select date * Day * Week * Month * Timeline Mar, 2021 Mon Tue Wed Thu Fri 1 Mar 2 3 4 5 Board of Adjustment 9:00 AM Cultural Development Board 8:30 AM Economic Development Board 8:00 AM Landscape Beautification Advisory Board 8:30 AM Public Participation Via Zoom/Hybrid Public Participation via Zoom/Hybrid Parks and Recreation Youth Advisory Board 7:00 PM Board of Architects 9:00 AM Planning and Zoning Board 5:30 PM Public Participation via Zoom Public Participation Via Zoom/Hybrid Senior Citizens Advisory Board 4:00 PM 8 9 10 11 12 Construction Regulation Board 2:00 PM City Commission 1:00 PM Communications Committee 8:30 AM Coral Gables Retirement Board 8:00 AM Property Advisory Board 8:30 AM Parks and Recreation Advisory Board 8:30 AM Planning and Zoning Board 6:00 PM Public Participation Via Zoom/Hybrid 15 16 17 18 19 City of Coral Gables / University of Miami Community Relations Committee 5:00 PM Code Enforcement Board 8:30 AM Board of Architects 9:00 AM School Community Relations Committee 8:30 AM Public Participation via Zoom Historic Preservation Board 4:00 PM Public Participation via Zoom Public Participation via Zoom 22 23 24 25 26 Sustainability Advisory Board 5:00 PM Parking Advisory Board 8:00 AM 29 30 31 1 Apr 2 Landscape Beautification Advisory Board 8:30 AM Original text Contribute a better translation",,,,,,,,,,,,,,,,,,,,,,,
